folder,domain_id,value,display_name,description
,aud,0,no aud,
,aud,1,etoh abuse dx,
,aud,2,etoh dependence dx,
,aud,3,both abuse and dep dx,
,aud,999,data missing,
,cesd,1,rarely or none of the time (less than 1 day),
,cesd,2,some or a little of the time (1 to 2 days),
,cesd,3,occasionally or a moderate amount of the time (3 to 4 days),
,cesd,4,most or all of the time (5 to 7 days),
,cesdr,0,rarely or none of the time (less than 1 day),
,cesdr,1,some or a little of the time (1 to 2 days),
,cesdr,2,occasionally or a moderate amount of the time (3 to 4 days),
,cesdr,3,most or all of the time (5 to 7 days),
,cesdrr,0,most or all of the time (5 to 7 days),
,cesdrr,1,occasionally or a moderate amount of the time (3 to 4 days),
,cesdrr,2,some or a little of the time (1 to 2 days),
,cesdrr,3,rarely or none of the time (less than 1 day),
,cond,1,baseline,
,cond,2,final,
,cond,3,unknown,
,condition_string,bsln  ,Baseline assessment,
,condition_string,final ,Final Follow-up assessment (1.5 to 3 years later),
,drug,1,Marijuana,
,drug,2,Cocaine,
,drug,3,Stimulants,
,drug,4,Opiates,
,drug,5,Solvents,
,drug,6,Hallucinogens,
,drug,7,Other,
,drug_yes1_no0,0,"no, never",
,drug_yes1_no0,1,yes,
,ethnicity,0,"No, NOT Hispanic or Latino",
,ethnicity,1,yes is Hispanic or Latino - endorsed response 3 to question re race,
,nsrr_ethnicity,hispanic or latino,hispanic or latino,
,nsrr_ethnicity,not hispanic or latino,not hispanic or latino,
,nsrr_ethnicity,not reported,not reported,
,nsrr_race,white,white,
,nsrr_race,american indian or alaska native,american indian or alaska native,
,nsrr_race,black or african american,black or african american,
,nsrr_race,asian,asian,
,nsrr_race,native hawaiian or other pacific islander,native hawaiian or other pacific islander,
,nsrr_race,hispanic,hispanic,
,nsrr_race,multiple,multiple,
,nsrr_race,other,other,
,nsrr_race,unknown,unknown,
,nsrr_race,not reported,not reported,
,nsrr_race,not allowed to collect,not allowed to collect,
,nsrr_sex,female,female,
,nsrr_sex,male,male,
,nsrr_sex,not reported,not reported,
,parent,0,neither parent,
,parent,1,one or both parent,
,parent,999,data missing,
